Feature1,Feature2
0.082155931,1.084685383
2.670421036,1.414565209
-0.072614939,1.600648825
-0.569229808,1.838101376
-0.195790031,2.605083386
0.190129579,1.079514142
0.209906086,1.947739974
1.252267735,0.446070761
0.721595872,2.610948268
1.829355109,2.456315768
-0.204750106,1.155746113
2.131824402,1.975324752
-1.134620633,1.495982616
2.238673099,3.851932311
0.656643745,3.976115721
1.235909828,2.444862644
-1.779521794,3.29102076
-0.796152189,1.893055189
2.661943142,2.777033772
3.869665854,1.752061304
0.610868898,1.164854458
1.853701961,3.141048287
3.519070585,2.291342881
3.50833166,1.046934102
-1.63768164,2.979656126
-0.486489859,2.495301982
0.409732647,2.227827964
2.982956922,2.123275277
-0.934286345,1.481110969
0.586293037,2.161000955
2.797251091,2.846643709
1.093351306,0.984319874
1.638220741,0.890119608
0.544326647,2.810676537
2.114979006,2.321269259
2.313431113,2.100535461
0.305917594,1.43401381
3.541625441,1.181922603
1.835371074,2.642019349
0.100863187,1.774551107
1.853260963,1.033273486
0.243045065,2.393366744
0.780683216,1.500762757
1.865671759,2.812648185
-0.476924734,2.975594956
0.511202668,1.987361714
-0.656616584,2.189512334
0.030433877,2.023788788
2.309867786,2.274624342
-1.095405179,2.487266269
0.210787078,1.378734053
0.959761224,2.756763465
-1.087792666,2.116608844
1.366139831,1.020600089
-1.854860123,1.299381836
1.282475388,2.267581911
1.602263096,1.081167833
-0.796112673,1.304592037
0.313796942,1.288356473
1.840477892,3.120653424
0.60901958,2.341943736
-1.627018911,2.678554776
1.057602066,1.613943673
1.400180262,2.187667883
1.089889138,2.238347294
1.612962676,2.265837588
1.598014862,1.258054847
2.837810542,2.759363793
-0.48463183,2.990447585
-1.526367685,2.055204479
2.154059193,1.21434291
0.535843027,2.657490396
-0.717655163,1.005151859
2.572369127,1.653205455
0.282290924,2.563182866
2.270996842,2.22678396
1.533463502,3.29046481
3.053991963,2.088980697
1.632075784,2.907419018
1.913334175,2.664880264
0.117986949,1.354630149
0.158208566,1.619699184
3.278755812,2.193070372
0.506442231,1.866446431
1.232167884,0.557482556
-1.31446951,2.384625665
1.822175053,1.300632702
0.817699391,1.020168312
1.612154551,2.746244797
0.653363471,0.753188657
-0.535030378,1.353583857
3.377012305,0.185622319
1.249484159,3.009251843
-1.929458014,2.069732889
